,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
210,5d277baf5370f8e6fc94d96c,games_video,USA,2008,"{'type': 'Point', 'coordinates': [-71.0680027, 42.3406534]}",42.3406534,-71.0680027,SCVNGR,60,$40.8M,1,27,13.5
53,5d277baf5370f8e6fc94d8cf,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-122.245087, 37.530893]}",37.530893,-122.245087,MyBuys,120,$40.8M,2,27,13.5
189,5d277baf5370f8e6fc94d957,software,USA,2003,"{'type': 'Point', 'coordinates': [-121.970505, 37.3821368]}",37.3821368,-121.970505,Packet Design,60,$2.8M,1,27,13.5
125,5d277baf5370f8e6fc94d917,advertising,USA,2008,"{'type': 'Point', 'coordinates': [-122.4011706, 37.7911186]}",37.7911186,-122.4011706,Bizo,66,$28.5M,1,27,13.5
78,5d277baf5370f8e6fc94d8e8,advertising,USA,2004,"{'type': 'Point', 'coordinates': [-73.984268, 40.743662]}",40.743662,-73.984268,MediaTrust,60,$21M,1,27,13.5
206,5d277baf5370f8e6fc94d968,software,GBR,2005,"{'type': 'Point', 'coordinates': [-1.4629301, 53.3800107]}",53.3800107,-1.4629301,WANdisco,175,$45M,2,27,13.5
20,5d277baf5370f8e6fc94d8ae,web,USA,2006,"{'type': 'Point', 'coordinates': [-122.39071, 37.779507]}",37.779507,-122.39071,Eventbrite,200,$140M,1,27,13.5
24,5d277baf5370f8e6fc94d8b2,web,USA,2004,"{'type': 'Point', 'coordinates': [-122.0727749, 37.3927975]}",37.3927975,-122.0727749,IMVU,150,$29M,1,27,13.5
88,5d277baf5370f8e6fc94d8f2,design,DEU,2008,"{'type': 'Point', 'coordinates': [13.4469031, 52.4986199]}",52.4986199,13.4469031,99designs,100,$35M,3,27,13.5
196,5d277baf5370f8e6fc94d95e,web,USA,2004,"{'type': 'Point', 'coordinates': [-122.3927145, 37.7887135]}",37.7887135,-122.3927145,Double Fusion,80,$59M,1,27,13.5
27,5d277baf5370f8e6fc94d8b5,advertising,USA,2005,"{'type': 'Point', 'coordinates': [-122.39323, 37.710677]}",37.710677,-122.39323,Greystripe,90,$17.6M,1,27,13.5
85,5d277baf5370f8e6fc94d8ef,web,USA,2006,"{'type': 'Point', 'coordinates': [-73.7258199, 40.8587524]}",40.8587524,-73.7258199,OLX,85,$28.5M,1,27,13.5
68,5d277baf5370f8e6fc94d8de,ecommerce,USA,2005,"{'type': 'Point', 'coordinates': [-73.983268, 40.694731]}",40.694731,-73.983268,Etsy,300,$91.7M,1,27,13.5
